equipmentid,vehicledescription,vehicle_type,dept_name,deptid,purchasedate,age2020,purchaseprice,depreceated value,miles2020,cumulative_miles,maintenance2020,cumulative_maintenance,mpg2020,emissions2020,replacementvehicle_id,replacement_vehicle_desc,replacement_vehicle_purchaseprice,replacement_vehicle_mpge,replacement_vehicle_type,replacement_vehicle_annual_maintenance
R101,Ford F 150 XLT Super Crew,HEV,DPW: Solid Waste Management (Refuse Disposal),10707603,12/31/2021,0,39000,39000,4714,0,1397.4,0,30.6,0,R7000,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R102,Ford Transit 350HD Cargo Van,EV,Baltimore County Department of Library,BS001-2180,12/31/2021,0,46000,46000,3641,0,1513.2,0,66,0,R7001,Ford Transit 350HD Cargo Van,46000,66,EV,1513.2
R103,Ford Transit 350HD Cargo Van,EV,Property Management - Building Maintenance,10252502,12/31/2021,0,46000,46000,3372,0,1513.2,0,66,0,R7002,Ford Transit 350HD Cargo Van,46000,66,EV,1513.2
R104,Ford F 150 XLT Super Crew,HEV,DPW: Traffic Signal Operations,10707703,12/31/2021,0,39000,39000,4780,0,1397.4,0,30.6,0,R7003,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R105,Ford F 150 XLT Super Crew,HEV,Department of Health (Bioterrorism Program),005030XX43,12/31/2021,0,39000,39000,1530,0,1397.4,0,30.6,0,R7004,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R106,Ford Transit 350HD Cargo Van,EV,OIT: Electronic Services/Telecommunications,10696904,12/31/2021,0,46000,46000,2471,0,1513.2,0,66,0,R7005,Ford Transit 350HD Cargo Van,46000,66,EV,1513.2
R107,Ford F 150 XLT Super Crew,HEV,OIT: Electronic Services/Telecommunications,10696904,12/31/2021,0,39000,39000,1320,0,1397.4,0,30.6,0,R7006,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R108,Ford Transit 350HD Cargo Van,EV,Recreation and Parks (Recreation Services),10393902,12/31/2021,0,46000,46000,1210,0,1513.2,0,66,0,R7007,Ford Transit 350HD Cargo Van,46000,66,EV,1513.2
R109,Ford Transit 350HD Passenger Van,EV,Bureau of Corrections,10080801,12/31/2021,0,46000,46000,2479,0,1529.4,0,66,0,R7008,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4
R110,Ford F 150 XLT Super Crew,HEV,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,12/31/2021,0,39000,39000,3256,0,1397.4,0,30.6,0,R7009,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R111,Ford Fusion,PHEV,Police Department - Administrative/Technical Services,10151502,12/31/2021,0,36000,36000,2912,0,1023.6,0,103,0,R7010,Ford Fusion,36000,103,PHEV,1023.6
R112,Harley Davidson Electra Glide Std,ICE,Police Department - Support Operations,10151507,12/31/2021,0,20500,20500,461,0,800,0,43,0,R7011,Harley Davidson Electra Glide Std,20500,43,ICE,800
R113,Harley Davidson Electra Glide Std,ICE,Police Department - Support Operations,10151507,12/31/2021,0,20500,20500,546,0,800,0,43,0,R7012,Harley Davidson Electra Glide Std,20500,43,ICE,800
R114,Harley Davidson Electra Glide Std,ICE,Police Department - Support Operations,10151507,12/31/2021,0,20500,20500,346,0,800,0,43,0,R7013,Harley Davidson Electra Glide Std,20500,43,ICE,800
R115,Harley Davidson Electra Glide Std,ICE,Police Department - Support Operations,10151507,12/31/2021,0,20500,20500,323,0,800,0,43,0,R7014,Harley Davidson Electra Glide Std,20500,43,ICE,800
R116,Harley Davidson Electra Glide Std,ICE,Police Department - Support Operations,10151507,12/31/2021,0,20500,20500,379,0,800,0,43,0,R7015,Harley Davidson Electra Glide Std,20500,43,ICE,800
R117,Harley Davidson Electra Glide Std,ICE,Police Department - Support Operations,10151507,12/31/2021,0,20500,20500,20,0,800,0,43,0,R7016,Harley Davidson Electra Glide Std,20500,43,ICE,800
R118,Ford E-450 Cutaway,EV,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,12/31/2021,0,150000,150000,7105,0,1788.2,0,33.7,0,R7017,Ford E-450 Cutaway,150000,33.7,EV,1788.2
R119,Ford E-450 Cutaway,EV,DPW: Equipment Maintenance,10707503,12/31/2021,0,150000,150000,3327,0,1788.2,0,33.7,0,R7018,Ford E-450 Cutaway,150000,33.7,EV,1788.2
R120,Chrysler Pacifica Hybrid,HEV,Police Department - Administrative/Technical Services,10151502,12/31/2021,0,40000,40000,3512,0,984.6,0,82,0,R7019,Chrysler Pacifica Hybrid,40000,82,HEV,984.6
R121,Ford F 150 XLT Super Crew,HEV,DPW: Solid Waste Management (Refuse Disposal),10707603,12/31/2021,0,39000,39000,6148,0,1397.4,0,30.6,0,R7020,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R122,Ford Transit 350HD Cargo Van,EV,OIT: Electronic Services/Telecommunications,10696904,12/31/2021,0,46000,46000,5437,0,1513.2,0,66,0,R7021,Ford Transit 350HD Cargo Van,46000,66,EV,1513.2
R123,Ford F 150 XLT Super Crew,HEV,Recreation and Parks (Opns./Maintnenance),10393904,12/31/2021,0,39000,39000,2696,0,1397.4,0,30.6,0,R7022,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R124,Ford F 150 XLT Super Crew,HEV,DPW: Equipment Maintenance,10707503,12/31/2021,0,39000,39000,2549,0,1397.4,0,30.6,0,R7023,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R125,Ford F 450 Super Duty XL,ICE,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,12/31/2021,0,71000,71000,9690,0,1147.2,0,10.7,0,R7024,Ford F 450 Super Duty XL,71000,10.7,ICE,1147.2
R126,Ford Wrecker,ICE,Vehicle Operations and Maintenance,210101003,12/31/2021,0,222000,222000,3453,0,6000,0,4.25,0,R7025,Ford Wrecker,222000,4.25,ICE,6000
R127,Ford Transit 350HD Cargo Van,EV,Property Management - Building Maintenance,10252502,12/31/2021,0,46000,46000,7192,0,1513.2,0,66,0,R7026,Ford Transit 350HD Cargo Van,46000,66,EV,1513.2
R128,Ford Mustang Mach-E AWD Extended,EV,Bureau of Corrections,10080801,12/31/2021,0,36000,36000,3011,0,1175,0,90,0,R7027,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R129,Ford Escape,HEV,Police Department - Operations,10151506,12/31/2021,0,29000,29000,2716,0,1110.2,0,39,0,R7028,Ford Escape,29000,39,HEV,1110.2
R130,Chevrolet Suburban,ICE,Fire Department - Operations,10161604,12/31/2021,0,56500,56500,10167,0,1092.8,0,18,0,R7029,Chevrolet Suburban,56500,18,ICE,1092.8
R131,Chevrolet Suburban,ICE,Police Department - Support Operations,10151507,12/31/2021,0,56500,56500,2689,0,1092.8,0,18,0,R7030,Chevrolet Suburban,56500,18,ICE,1092.8
R132,Ford E-450 Cutaway,EV,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,12/31/2021,0,150000,150000,1279,0,1788.2,0,33.7,0,R7031,Ford E-450 Cutaway,150000,33.7,EV,1788.2
R133,Ford E-450 Cutaway,EV,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,12/31/2021,0,150000,150000,8915,0,1788.2,0,33.7,0,R7032,Ford E-450 Cutaway,150000,33.7,EV,1788.2
R134,Ford E-450 Cutaway,EV,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,12/31/2021,0,150000,150000,6573,0,1788.2,0,33.7,0,R7033,Ford E-450 Cutaway,150000,33.7,EV,1788.2
R135,Ford E-450 Cutaway,EV,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,12/31/2021,0,150000,150000,7943,0,1788.2,0,33.7,0,R7034,Ford E-450 Cutaway,150000,33.7,EV,1788.2
R136,Ford E-450 Cutaway,EV,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,12/31/2021,0,150000,150000,6993,0,1788.2,0,33.7,0,R7035,Ford E-450 Cutaway,150000,33.7,EV,1788.2
R137,Ford E-450 Cutaway,EV,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,12/31/2021,0,150000,150000,916,0,1788.2,0,33.7,0,R7036,Ford E-450 Cutaway,150000,33.7,EV,1788.2
R138,Ford Transit 350HD Passenger Van,EV,County Sheriff,10181801,12/31/2021,0,46000,46000,15664,0,1529.4,0,66,0,R7037,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4
R139,Ford Escape,HEV,Police Department - Operations,10151506,12/31/2021,0,29000,29000,1862,0,1110.2,0,39,0,R7038,Ford Escape,29000,39,HEV,1110.2
R140,Ford F 150 XLT Super Crew,HEV,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,12/31/2021,0,39000,39000,11454,0,1397.4,0,30.6,0,R7039,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R141,Ford F 150 XLT Super Crew,HEV,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,12/31/2021,0,39000,39000,14757,0,1397.4,0,30.6,0,R7040,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R142,Ford F 150 XLT Super Crew,HEV,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,12/31/2021,0,39000,39000,15213,0,1397.4,0,30.6,0,R7041,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R143,Ford F 150 XLT Super Crew,HEV,DPW: Highways/General Oper/Maintenance,10707502,12/31/2021,0,39000,39000,21638,0,1397.4,0,30.6,0,R7042,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R144,Ford F 150 XLT Super Crew,HEV,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,12/31/2021,0,39000,39000,8625,0,1397.4,0,30.6,0,R7043,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R145,Ford Mustang Mach-E AWD Extended,EV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,4821,0,1175,0,90,0,R7044,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R146,Ford Mustang Mach-E AWD Extended,EV,Bureau of Corrections,10080801,12/31/2021,0,36000,36000,3761,0,1175,0,90,0,R7045,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R147,Ford Fusion,PHEV,Police Department - Office of the Chief,10151501,12/31/2021,0,36000,36000,5530,0,1023.6,0,103,0,R7046,Ford Fusion,36000,103,PHEV,1023.6
R148,Ford Escape,HEV,Police Department - Operations,10151506,12/31/2021,0,29000,29000,2952,0,1110.2,0,39,0,R7047,Ford Escape,29000,39,HEV,1110.2
R149,Ford Escape,HEV,DPW: Solid Waste Management (Refuse Disposal),10707603,12/31/2021,0,29000,29000,2591,0,1110.2,0,39,0,R7048,Ford Escape,29000,39,HEV,1110.2
R150,Ford Escape,HEV,Police Department - Operations,10151506,12/31/2021,0,29000,29000,3745,0,1110.2,0,39,0,R7049,Ford Escape,29000,39,HEV,1110.2
R151,Ford Transit 350HD Passenger Van,EV,County Sheriff,10181801,12/31/2021,0,46000,46000,11211,0,1529.4,0,66,0,R7050,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4
R152,Ford Transit 350HD Passenger Van,EV,Police Department - Operations,10151506,12/31/2021,0,46000,46000,7271,0,1529.4,0,66,0,R7051,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4
R153,Ford Transit 350HD Passenger Van,EV,Bureau of Corrections,10080801,12/31/2021,0,46000,46000,7395,0,1529.4,0,66,0,R7052,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4
R154,Chevrolet Suburban,ICE,Fire Department - Field Operations,10161606,12/31/2021,0,56500,56500,8065,0,1092.8,0,18,0,R7053,Chevrolet Suburban,56500,18,ICE,1092.8
R155,Chevrolet Suburban,ICE,Police Department - Community Resources,10151508,12/31/2021,0,56500,56500,3617,0,1092.8,0,18,0,R7054,Chevrolet Suburban,56500,18,ICE,1092.8
R156,Ford F 150 XLT Super Crew,HEV,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,12/31/2021,0,39000,39000,15287,0,1397.4,0,30.6,0,R7055,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R157,Ford F 150 XLT Super Crew,HEV,DPW: Highways/General Oper/Maintenance,10707502,12/31/2021,0,39000,39000,7409,0,1397.4,0,30.6,0,R7056,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R158,Ford F 150 XLT Super Crew,HEV,DPW: Highways/General Oper/Maintenance,10707502,12/31/2021,0,39000,39000,11768,0,1397.4,0,30.6,0,R7057,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R159,Ford F 150 XLT Super Crew,HEV,DPW: General Surveying,10707209,12/31/2021,0,39000,39000,14422,0,1397.4,0,30.6,0,R7058,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R160,Ford F 150 XLT Super Crew,HEV,Property Management - Building Maintenance,10252502,12/31/2021,0,39000,39000,8048,0,1397.4,0,30.6,0,R7059,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R161,Ford Escape,HEV,Enviormental Protection and Resource Mgmnt. (Admin.),10424201,12/31/2021,0,29000,29000,2572,0,1110.2,0,39,0,R7060,Ford Escape,29000,39,HEV,1110.2
R162,Ford F 150 XLT Super Crew,HEV,DPW: Traffic Engineering,10707702,12/31/2021,0,39000,39000,13022,0,1397.4,0,30.6,0,R7061,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R163,Ford F 150 XLT Super Crew,HEV,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,12/31/2021,0,39000,39000,11744,0,1397.4,0,30.6,0,R7062,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R164,Ford F 150 XLT Super Crew,HEV,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,12/31/2021,0,39000,39000,6281,0,1397.4,0,30.6,0,R7063,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R165,Ford Transit 350HD Passenger Van,EV,Community Planning,10121204,12/31/2021,0,46000,46000,1716,0,1529.4,0,66,0,R7064,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4
R166,Ford Transit 350HD Passenger Van,EV,OIT: Electronic Services/Telecommunications,10696904,12/31/2021,0,46000,46000,3692,0,1529.4,0,66,0,R7065,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4
R167,Ford Transit 350HD Passenger Van,EV,Property Management - Building Maintenance,10252502,12/31/2021,0,46000,46000,10029,0,1529.4,0,66,0,R7066,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4
R168,Ford Transit 350HD Passenger Van,EV,Parking Enforcement Unit,10060602,12/31/2021,0,46000,46000,7428,0,1529.4,0,66,0,R7067,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4
R169,Ford Fusion,PHEV,Police Department - Office of the Chief,10151501,12/31/2021,0,36000,36000,5784,0,1023.6,0,103,0,R7068,Ford Fusion,36000,103,PHEV,1023.6
R170,Chevrolet Bolt EV,EV,Police Department - Community Resources,10151508,12/31/2021,0,31300,31300,4119,0,777.2,0,106,0,R7069,Chevrolet Bolt EV,31300,106,EV,777.2
R171,Ford F 150 XLT Super Crew,HEV,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,12/31/2021,0,39000,39000,3219,0,1397.4,0,30.6,0,R7070,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R172,Ford F 150 XLT Super Crew,HEV,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,12/31/2021,0,39000,39000,3668,0,1397.4,0,30.6,0,R7071,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R173,Ford F 150 XLT Super Crew,HEV,Police Department - Support Operations,10151507,12/31/2021,0,39000,39000,14351,0,1397.4,0,30.6,0,R7072,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R174,Ford E-450 Cutaway,EV,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,12/31/2021,0,150000,150000,11380,0,1788.2,0,33.7,0,R7073,Ford E-450 Cutaway,150000,33.7,EV,1788.2
R175,Ford E-450 Cutaway,EV,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,12/31/2021,0,150000,150000,14387,0,1788.2,0,33.7,0,R7074,Ford E-450 Cutaway,150000,33.7,EV,1788.2
R176,Ford E-450 Cutaway,EV,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,12/31/2021,0,150000,150000,10655,0,1788.2,0,33.7,0,R7075,Ford E-450 Cutaway,150000,33.7,EV,1788.2
R177,Ford Escape,HEV,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,12/31/2021,0,29000,29000,11047,0,1110.2,0,39,0,R7076,Ford Escape,29000,39,HEV,1110.2
R178,Ford Escape,HEV,OIT: Electronic Services/Telecommunications,10696904,12/31/2021,0,29000,29000,4491,0,1110.2,0,39,0,R7077,Ford Escape,29000,39,HEV,1110.2
R179,Ford Escape,HEV,OIT: Electronic Services/Telecommunications,10696904,12/31/2021,0,29000,29000,5499,0,1110.2,0,39,0,R7078,Ford Escape,29000,39,HEV,1110.2
R180,Ford Escape,HEV,Enviormental Protection and Resource Mgmnt. (Admin.),10424201,12/31/2021,0,29000,29000,2220,0,1110.2,0,39,0,R7079,Ford Escape,29000,39,HEV,1110.2
R181,Ford Mustang Mach-E AWD Extended,EV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,8027,0,1175,0,90,0,R7080,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R182,Ford Mustang Mach-E AWD Extended,EV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,2709,0,1175,0,90,0,R7081,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R183,Ford Mustang Mach-E AWD Extended,EV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,6527,0,1175,0,90,0,R7082,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R184,Ford Mustang Mach-E AWD Extended,EV,County Sheriff,10181801,12/31/2021,0,36000,36000,6592,0,1175,0,90,0,R7083,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R185,Ford Mustang Mach-E AWD Extended,EV,Police Department - Investigative Services,10151503,12/31/2021,0,36000,36000,5985,0,1175,0,90,0,R7084,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R186,Ford Mustang Mach-E AWD Extended,EV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,3294,0,1175,0,90,0,R7085,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R187,Ford Mustang Mach-E AWD Extended,EV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,4971,0,1175,0,90,0,R7086,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R188,Ford Mustang Mach-E AWD Extended,EV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,4467,0,1175,0,90,0,R7087,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R189,Ford Mustang Mach-E AWD Extended,EV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,3807,0,1175,0,90,0,R7088,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R190,Ford Mustang Mach-E AWD Extended,EV,Police Department - Administrative/Technical Services,10151502,12/31/2021,0,36000,36000,2109,0,1175,0,90,0,R7089,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R191,Ford Mustang Mach-E AWD Extended,EV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,3939,0,1175,0,90,0,R7090,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R192,Ford Mustang Mach-E AWD Extended,EV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,5654,0,1175,0,90,0,R7091,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R193,Ford Mustang Mach-E AWD Extended,EV,County Sheriff,10181801,12/31/2021,0,36000,36000,24050,0,1175,0,90,0,R7092,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R194,Ford Mustang Mach-E AWD Extended,EV,County Sheriff,10181801,12/31/2021,0,36000,36000,1549,0,1175,0,90,0,R7093,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R195,Ford Mustang Mach-E AWD Extended,EV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,4378,0,1175,0,90,0,R7094,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R196,Ford Mustang Mach-E AWD Extended,EV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,11252,0,1175,0,90,0,R7095,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R197,Ford Mustang Mach-E AWD Extended,EV,Police Department - Administrative/Technical Services,10151502,12/31/2021,0,36000,36000,6928,0,1175,0,90,0,R7096,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R198,Ford Mustang Mach-E AWD Extended,EV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,4397,0,1175,0,90,0,R7097,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R199,Ford Mustang Mach-E AWD Extended,EV,Police Department - Administrative/Technical Services,10151502,12/31/2021,0,36000,36000,15712,0,1175,0,90,0,R7098,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R200,Ford Mustang Mach-E AWD Extended,EV,County Sheriff,10181801,12/31/2021,0,36000,36000,9220,0,1175,0,90,0,R7099,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R201,Ford Mustang Mach-E AWD Extended,EV,Police Department - Investigative Services,10151503,12/31/2021,0,36000,36000,13894,0,1175,0,90,0,R7100,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R202,Ford Mustang Mach-E AWD Extended,EV,County Sheriff,10181801,12/31/2021,0,36000,36000,10718,0,1175,0,90,0,R7101,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R203,Ford Mustang Mach-E AWD Extended,EV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,9640,0,1175,0,90,0,R7102,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R204,Ford Mustang Mach-E AWD Extended,EV,Police Department - Administrative/Technical Services,10151502,12/31/2021,0,36000,36000,10584,0,1175,0,90,0,R7103,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R205,Ford Mustang Mach-E AWD Extended,EV,County Sheriff,10181801,12/31/2021,0,36000,36000,9547,0,1175,0,90,0,R7104,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R206,Ford Mustang Mach-E AWD Extended,EV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,3682,0,1175,0,90,0,R7105,Ford Mustang Mach-E AWD Extended,36000,90,EV,1175
R207,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,6340,0,1023.6,0,103,0,R7106,Ford Fusion,36000,103,PHEV,1023.6
R208,Ford E-450 Cutaway,EV,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,12/31/2021,0,150000,150000,10919,0,1788.2,0,33.7,0,R7107,Ford E-450 Cutaway,150000,33.7,EV,1788.2
R209,Ford Fusion,PHEV,Police Department - Administrative/Technical Services,10151502,12/31/2021,0,36000,36000,10040,0,1023.6,0,103,0,R7108,Ford Fusion,36000,103,PHEV,1023.6
R210,Ford Fusion,PHEV,Fire Department - Field Operations,10161606,12/31/2021,0,36000,36000,6873,0,1023.6,0,103,0,R7109,Ford Fusion,36000,103,PHEV,1023.6
R211,Chevrolet Suburban,ICE,Police Department - Operations,10151506,12/31/2021,0,56500,56500,7697,0,1092.8,0,18,0,R7110,Chevrolet Suburban,56500,18,ICE,1092.8
R212,Chevrolet Suburban,ICE,Police Department - Operations,10151506,12/31/2021,0,56500,56500,9920,0,1092.8,0,18,0,R7111,Chevrolet Suburban,56500,18,ICE,1092.8
R213,Chevrolet Suburban,ICE,Fire Department - Operations,10161604,12/31/2021,0,56500,56500,9389,0,1092.8,0,18,0,R7112,Chevrolet Suburban,56500,18,ICE,1092.8
R214,Chevrolet Suburban,ICE,Police Department - Operations,10151506,12/31/2021,0,56500,56500,6461,0,1092.8,0,18,0,R7113,Chevrolet Suburban,56500,18,ICE,1092.8
R215,Chevrolet Suburban,ICE,Fire Department - Operations,10161604,12/31/2021,0,56500,56500,8796,0,1092.8,0,18,0,R7114,Chevrolet Suburban,56500,18,ICE,1092.8
R216,Chevrolet Suburban,ICE,Police Department - Operations,10151506,12/31/2021,0,56500,56500,1908,0,1092.8,0,18,0,R7115,Chevrolet Suburban,56500,18,ICE,1092.8
R217,Chevrolet Suburban,ICE,Fire Department - Operations,10161604,12/31/2021,0,56500,56500,9977,0,1092.8,0,18,0,R7116,Chevrolet Suburban,56500,18,ICE,1092.8
R218,Chevrolet Suburban,ICE,Fire Department - Operations,10161604,12/31/2021,0,56500,56500,18585,0,1092.8,0,18,0,R7117,Chevrolet Suburban,56500,18,ICE,1092.8
R219,Chevrolet Suburban,ICE,Police Department - Operations,10151506,12/31/2021,0,56500,56500,6782,0,1092.8,0,18,0,R7118,Chevrolet Suburban,56500,18,ICE,1092.8
R220,Chevrolet Suburban,ICE,Permits and Development Management,10171715,12/31/2021,0,56500,56500,1706,0,1092.8,0,18,0,R7119,Chevrolet Suburban,56500,18,ICE,1092.8
R221,Ford Transit 350HD Passenger Van,EV,County Sheriff,10181801,12/31/2021,0,46000,46000,15903,0,1529.4,0,66,0,R7120,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4
R222,Ford Transit 350HD Passenger Van,EV,Bureau of Corrections,10080801,12/31/2021,0,46000,46000,4525,0,1529.4,0,66,0,R7121,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4
R223,Chrysler Pacifica Hybrid,HEV,Vehicle Operations and Maintenance,210101003,12/31/2021,0,40000,40000,2876,0,984.6,0,82,0,R7122,Chrysler Pacifica Hybrid,40000,82,HEV,984.6
R224,Chevrolet Bolt EV,EV,Permits and Development Management,10171715,12/31/2021,0,31300,31300,6479,0,777.2,0,106,0,R7123,Chevrolet Bolt EV,31300,106,EV,777.2
R225,Chevrolet Bolt EV,EV,Housing Office,005057XX21,12/31/2021,0,31300,31300,8157,0,777.2,0,106,0,R7124,Chevrolet Bolt EV,31300,106,EV,777.2
R226,Chevrolet Bolt EV,EV,Department of Health (Environmental Health Services),10303005,12/31/2021,0,31300,31300,8205,0,777.2,0,106,0,R7125,Chevrolet Bolt EV,31300,106,EV,777.2
R227,Chevrolet Bolt EV,EV,Department of Health (Environmental Health Services),10303005,12/31/2021,0,31300,31300,2894,0,777.2,0,106,0,R7126,Chevrolet Bolt EV,31300,106,EV,777.2
R228,Chevrolet Bolt EV,EV,State's Attorney,10090901,12/31/2021,0,31300,31300,97,0,777.2,0,106,0,R7127,Chevrolet Bolt EV,31300,106,EV,777.2
R229,Chevrolet Bolt EV,EV,Dept. of Social Services,BS001-2190,12/31/2021,0,31300,31300,5648,0,777.2,0,106,0,R7128,Chevrolet Bolt EV,31300,106,EV,777.2
R230,Chevrolet Bolt EV,EV,Department of Health (Environmental Health Services),10303005,12/31/2021,0,31300,31300,3123,0,777.2,0,106,0,R7129,Chevrolet Bolt EV,31300,106,EV,777.2
R231,Chevrolet Bolt EV,EV,Dept. of Social Services,BS001-2190,12/31/2021,0,31300,31300,4806,0,777.2,0,106,0,R7130,Chevrolet Bolt EV,31300,106,EV,777.2
R232,Chevrolet Bolt EV,EV,Department of Health (Environmental Health Services),10303005,12/31/2021,0,31300,31300,5907,0,777.2,0,106,0,R7131,Chevrolet Bolt EV,31300,106,EV,777.2
R233,Chevrolet Bolt EV,EV,DPW: Traffic Planning,10707701,12/31/2021,0,31300,31300,5850,0,777.2,0,106,0,R7132,Chevrolet Bolt EV,31300,106,EV,777.2
R234,Chevrolet Bolt EV,EV,Department of Health (Environmental Health Services),10303005,12/31/2021,0,31300,31300,4002,0,777.2,0,106,0,R7133,Chevrolet Bolt EV,31300,106,EV,777.2
