equipmentid,vehicledescription,vehicle_type,dept_name,deptid,purchasedate,age2020,purchaseprice,depreceated value,miles2020,cumulative_miles,maintenance2020,cumulative_maintenance,mpg2020,emissions2020,replacementvehicle_id,replacement_vehicle_desc,replacement_vehicle_purchaseprice,replacement_vehicle_mpge,replacement_vehicle_type,replacement_vehicle_annual_maintenance
R1249,Ford F 250 Super Duty XL,ICE,DPW: Solid Waste Management (Refuse Collection),10707602,12/31/2021,0,42000,42000,34913,0,1227.8,0,14.6,0,R8148,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1250,Ford F 250 Super Duty XL,ICE,DPW: Solid Waste Management (Refuse Collection),10707602,12/31/2021,0,42000,42000,21665,0,1227.8,0,14.6,0,R8149,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1251,Ford F 250 Super Duty XL,ICE,Police Department - Investigative Services,10151503,12/31/2021,0,42000,42000,17221,0,1227.8,0,14.6,0,R8150,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1252,Ford F 250 Super Duty XL,ICE,Police Department - Investigative Services,10151503,12/31/2021,0,42000,42000,13082,0,1227.8,0,14.6,0,R8151,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1253,Ford F 250 Super Duty XL,ICE,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,12/31/2021,0,42000,42000,14063,0,1227.8,0,14.6,0,R8152,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1254,Ford F 250 Super Duty XL,ICE,DPW: General Surveying,10707209,12/31/2021,0,42000,42000,16728,0,1227.8,0,14.6,0,R8153,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1255,Ford F 250 Super Duty XL,ICE,DPW: Highways/General Oper/Maintenance,10707502,12/31/2021,0,42000,42000,7732,0,1227.8,0,14.6,0,R8154,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1256,Ford F 250 Super Duty XL,ICE,DPW: Highways/General Oper/Maintenance,10707502,12/31/2021,0,42000,42000,13672,0,1227.8,0,14.6,0,R8155,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1257,Ford F 250 Super Duty XL,ICE,DPW: Highways/General Oper/Maintenance,10707502,12/31/2021,0,42000,42000,15948,0,1227.8,0,14.6,0,R8156,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1258,Ford F 250 Super Duty XL,ICE,DPW: Highways/General Oper/Maintenance,10707502,12/31/2021,0,42000,42000,20833,0,1227.8,0,14.6,0,R8157,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1259,Ford F 250 Super Duty XL,ICE,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,12/31/2021,0,42000,42000,28872,0,1227.8,0,14.6,0,R8158,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1260,Ford F 250 Super Duty XL,ICE,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,12/31/2021,0,42000,42000,30082,0,1227.8,0,14.6,0,R8159,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1261,Ford F 250 Super Duty XL,ICE,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,12/31/2021,0,42000,42000,17768,0,1227.8,0,14.6,0,R8160,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1262,Ford F 250 Super Duty XL,ICE,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,12/31/2021,0,42000,42000,40362,0,1227.8,0,14.6,0,R8161,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1263,Ford F 250 Super Duty XL,ICE,Department of Health (Animal Control),10303007,12/31/2021,0,42000,42000,16312,0,1227.8,0,14.6,0,R8162,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1264,Ford F 250 Super Duty XL,ICE,DPW: Bureau of Utilities (Sewer/Water Opns./Maintenance),300707803,12/31/2021,0,42000,42000,13470,0,1227.8,0,14.6,0,R8163,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1265,Ford F 250 Super Duty XL,ICE,Fire Department - Operations,10161604,12/31/2021,0,42000,42000,2349,0,1227.8,0,14.6,0,R8164,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1266,Ford F 250 Super Duty XL,ICE,Fire Department - Operations,10161604,12/31/2021,0,42000,42000,5138,0,1227.8,0,14.6,0,R8165,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1267,Ford F 250 Super Duty XL,ICE,Fire Department - Operations,10161604,12/31/2021,0,42000,42000,3996,0,1227.8,0,14.6,0,R8166,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
R1268,Ford F 250 Super Duty XL,ICE,Fire Department - Operations,10161604,12/31/2021,0,42000,42000,2350,0,1227.8,0,14.6,0,R8167,Ford F 250 Super Duty XL,42000,14.6,ICE,1227.8
