equipmentid,vehicledescription,vehicle_type,dept_name,deptid,purchasedate,age2020,purchaseprice,depreceated value,miles2020,cumulative_miles,maintenance2020,cumulative_maintenance,mpg2020,emissions2020,replacementvehicle_id,replacement_vehicle_desc,replacement_vehicle_purchaseprice,replacement_vehicle_mpge,replacement_vehicle_type
31090,2014 FORD E350 BUS',ICE,DPW: Bureau of Transportation,10707704,10/28/14,6,52306.04,19372.61,"16,261","108,075",4178.74,11743.51,11,3578.90,R882,Ford Transit 350HD Passenger Van,46000,66,EV
31091,2014 FORD E350 BUS',ICE,DPW: Bureau of Transportation Rural Transp,005070XX23,10/28/14,6,52306.04,19372.61,"19,893","126,318",2464.31,10234.29,11,4378.27,R883,Ford Transit 350HD Passenger Van,46000,66,EV
31092,2014 FORD E350 BUS',ICE,DPW: Bureau of Transportation,10707704,10/28/14,6,52306.04,19372.61,"15,966","111,802",2526.86,9397.61,11,3513.97,R884,Ford Transit 350HD Passenger Van,46000,66,EV
31093,2013 FORD FUSION',ICE,Vehicle Operations and Maintenance,210101003,10/17/14,6,15724.40,4586.28,"3,712","33,266",663.03,2343.27,29,309.89,R885,Ford Fusion,36000,103,PHEV
31094,2014 CHEVROLET IMPALA',ICE,Police Department - Investigative Services,10151503,10/21/14,6,21129.66,1173.87,"19,977","76,054",1131.38,4879.16,22,2198.38,R886,Ford Fusion,36000,103,PHEV
31095,2015 CHEVROLET SUBURBAN',ICE,Office of County Executive,10010101,12/5/14,6,66014.55,25672.33,"26,188","149,873",1346.65,25720.89,18,3522.29,R887,Chevrolet Suburban,56500,18,ICE
31096,2014 DODGE Grand Caravan',ICE,Police Department - Vice/Narcotics,10151504,1/9/15,5,19722.74,1917.49,"27,649","108,627",65.52,72.96,20,3346.91,R888,Chrysler Pacifica Hybrid,40000,82,HEV
31097,2015 FORD ROLLBACK',ICE,Vehicle Operations and Maintenance,210101003,1/8/15,5,78147.00,31114.08,"32,213","160,170",11332.07,41731.12,6,12997.95,R889,Ford F 550 Rollback,75900,6,ICE
31098,2014 DODGE JOURNEY',ICE,Police Department - Investigative Services,10151503,1/26/15,5,17870.99,1737.46,"13,895","82,332",778.20,3792.26,19,1770.52,R890,Chrysler Pacifica Hybrid,40000,82,HEV
31099,2014 DODGE JOURNEY',ICE,Police Department - Investigative Services,10151503,1/26/15,5,17870.99,1737.46,"16,407","105,630",4142.68,12259.76,19,2090.60,R891,Chrysler Pacifica Hybrid,40000,82,HEV
31100,2015 MAZDA CX-5',ICE,Police Department - Vice/Narcotics,10151504,1/30/15,5,23431.43,2278.06,"14,101","90,920",736.92,26.16,27,1264.39,R892,Ford Escape,29000,39,HEV
